entry,rootWrd,fonetik,index,pos,label,def,exp,asal,passive,diaLan,domain,sinonim,references,keep,reason,category
mangkanya,mangka-,,,,bahasa basahan,dengan sebab itu..,,,,,,,,False,拟声词,interjection
mangkir,mangkir,mankir,,adjektif,bahasa basahan,"tidak datang atau tidak hadir dalam sesuatu majlis, mesyuarat dan sebagainya","Kalau ada mesyuarat, dia selalu mangkir.",,,,,,,False,拟声词,interjection
mangkuk,mangkuk,man-ku?,4,kata nama,bahasa basahan; bahasa kasar,"ungkapan kepada sso yg dianggap agak lambat memahami sesuatu atau agak lembap, biasanya dengan maksud utk bergurau","Woi mangkuk mudah pun tak boleh faham ke / ""Mangkuk punya budak!"" Lan meninggikan suaranya sambil memegang penumbuk.",,,,,,,False,拟声词,interjection
mangkuk ayun,mangkuk,,,,bahasa basahan,mangkuk hayun;,,,,,,,,False,拟声词,interjection
mangkuk hayun,mangkuk,,,,bahasa basahan,"ungkapan kepada sso yg melakukan perbuatan yg tidak disukai dengan tujuan utk merendah-rendahkannya memperolok-olokkannya dan sebagainya atau utk menunjukkan rasa tidak senang, tidak puas hati dan sebagainya","Mangkuk hayun betul, menyusahkan aku saja kau ni.",,,,,,,False,拟声词,interjection
mangsai2,mangsai2,man.saj,,,,,,,,,,,,False,无有效定义,incomplete
permanian beradas,mani,s. lam membenarkan kaedah permanian beradas yg menggunakan sperma suami dan telur isteri. ASAL: [drp Ar mani,,,,,,,,,,,,False,无有效定义,incomplete
manian,manian,mani jan,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
manila?,manila?,manila,,,,,,,,,,,,False,无有效定义,incomplete
manis3,manis3,ma-nis,,,,,,,,,,,,False,无有效定义,incomplete
manjahil,manjahil,mand3ahil,,,,,,,,,,,,False,无有效定义,incomplete
manjung2,manjung2,man-d3un,,,,,,,,,,,,False,无有效定义,incomplete
manjung*,manjung*,mand3un,,,bahasa klasik,,,,,,,,,False,无有效定义,incomplete
manuk1,manuk1,ma-nu?,,kata nama,,ayam,Di manakah pula manuk berkokok yg kudengar ini?.,,,,,,,False,无有效定义,incomplete
mapa,mapa,mapa,,,,,,,,Sabah,,,,False,无有效定义,incomplete
marka,marka,mar-ka,1,kata nama,bahasa basahan,teman wanita atau teman lelaki sso;,,,,,,,,False,拟声词,interjection
marka,marka,mar-ka,2,kata nama,bahasa basahan,te-. man wanita yg istimewa bagi sso lelaki;,,,,Utara,,,,False,拟声词,interjection
marka,marka,mar-ka,3,kata nama,bahasa basahan,kata yg ditujukan kepada kumpulan gadis remaja.,,,,Utara,,,,False,拟声词,interjection
market,market,mar ket,,kata nama,bahasa basahan,pasar.,,,,,,,,False,拟声词,interjection
mas?,mas?,mas,,,,,,,,,,,,False,无有效定义,incomplete
masa,masa,ma-sa,5,kata hubung,bahasa basahan,pada ketika atau pada waktu yg berkenaan,"Jangan bercakap masa saya sedang mengajar. / Masa Junaidah sedang membancuh adunan kek lapis, ketuharnya tiba-tiba terbakar.",,,,,,,False,拟声词,interjection
masa?,masa?,masa,,,,,,,,,,,,False,无有效定义,incomplete
masam,masam,,,,,;,,"daripada MP m-asam: Iban asam 'buah asam, m-asam`asam",,,,masam,,False,无有效定义,incomplete
masam melepang,masam,,,,,,,,,Pahang,,,,False,无有效定义,incomplete
memasam,masam,me ma sam,3,kata kerja tak transitif,bahasa basahan,"(berkenaan dengan makanan, masakan dan sebagainya) agak masam","Kalau masak lemak cili padi, saya suka kuahnya yg pekat, pedas dan ada rasa memasam sikit.",,,,,,,False,拟声词,interjection
maskat1,maskat1,mas-kat,,,,,,,,,,,,False,无有效定义,incomplete
maskat2,maskat2,maskat,,,,,,,,,,,,False,无有效定义,incomplete
mastautin,mastautin,mas.taw.tin,,,,,,"daripada Arab mustautin asli, dalam negeri",,,,,,False,无有效定义,incomplete
masuk,masuk,ma-su?,7,kata kerja tak transitif,,Haru,,,,,,,,False,无有效定义,incomplete
masuk buku,masuk Belanda,,,,bahasa basahan,"(berkenaan dengan perbelanjaan, hutang dan sebagainya) dicatat di dalam buku;",,,,,,,,False,拟声词,interjection
masuk kubur,masuk Belanda,,,,bahasa basahan,meninggal dunia;,"Kaya atau miskin, tetap masuk kubur, tiada bezanya.",,,,,mati,,False,拟声词,interjection
masuk tentera,masuk Belanda,,,,bahasa basahan,menjadi anggota tentera atau askar,"Tubuhnya besar, memang padan masuk tentera.",,,,,,,False,拟声词,interjection
tidak masuk buku,masuk Belanda,,,,bahasa basahan,tidak diambil kira atau tidak penting,Tidak keterlaluan jika dikatakan pemimpin spt ini sudah tidak masuk buku.,,,,,,,False,拟声词,interjection
masyarakat kedua masyarakat kelas,masyarakat,,,,,dua;,,,,,,masyarakat kelas,,False,无有效定义,incomplete
"dari masyrik /datang, lalu, sampai/ ke maghrib",masyrik,"skandar Zulkarnain pergi mendatangi segala negeri dr masyrik datang ke maghrib.@Maka adalah kerajaan baginda itu, segala raja-raja dr masyrik lalu ke maghrib sekaliannya takluk kpd baginda, melainkan negeri China juga yg tiada. ASAL: [drp Ar masyriq 'arah matahari terbit, timur; dunia Timur'",,,,.,,,,,,,,False,无有效定义,incomplete
Masyumi Baru,Masyumi,,,,,Masyumi yg ditubuhkan semula pada tahun 1998.,,,,Indonesia,,,,False,人名,person_name
mat buaya,mat buaya,,,,bahasa basahan,gelaran kepada lelaki yg suka ber foya-foya dan bertukar-tukar pasangan perempuan;,,,,,,,,False,拟声词,interjection
mat bunga,mat buaya,,,,bahasa basahan,"gelaran kepada lelaki yg berhati lembut, romantik, dan suka melakukan kerja-kerja yg biasanya dilakukan oleh orang spt memasak dan mengemas;",,,,,,perempuan,,False,拟声词,interjection
mat cintan,mat buaya,,,,bahasa basahan,"gelaran kepada lelaki yg berada dalam alam percintaan, agak romantik dan sentiasa berkhayal ttg kekasihnya;",,,,,,,,False,拟声词,interjection
mat gian,mat buaya,,,,bahasa basahan,gelaran kepada le laki yg menagih dadah;,,,,,,,,False,拟声词,interjection
mat jiwang,mat buaya,,,,bahasa basahan,"gelaran kepada lelaki yg berjiwa sentimental, suka bermadah utk menggambarkan perasaannya serta mudah terusik jiwanya;",,,,,,,,False,拟声词,interjection
mat kilang,mat buaya,,,,bahasa basahan,gelaran kepada lelaki yg bekerja sebagai operator pengeluaran di kilang,"Sebelum jadi cikgu, aku pernah jadi mat kiasan lang.",,,,,,,False,拟声词,interjection
mat motor,mat buaya,,a,,bahasa basahan,gelaran kepada lelaki yg menunggang motosikal,Hujan makin lebat dan ada sekumpulan mat motor sedang berteduh di bawah jejambat.,,,,,,,False,拟声词,interjection
mat motor,mat buaya,,b,,bahasa basahan,,,,,,,,,False,拟声词,interjection
pit,mat buaya,,,,bahasa basahan,mat gian;,,,,,,,,False,拟声词,interjection
mat rempit,mat buaya,,,,bahasa basahan,"gelaran kepada re maja lelaki yg suka menunggang motosikal secara laju dan berbahaya di jalan raya, biasanya utk berlumba;",,,,,,,,False,拟声词,interjection
mat rok,mat buaya,,,,bahasa basahan,"gelaran kepada lelaki yg menggemari muzik rok dan terikut-ikut dengan penampilan ahli kumpulan muzik rok dari segi cara berpakaian, fesyen rambut dan gaya hidup yg agak bebas",Sekumpulan mat rok yg berseluar ketat dan berambut panjang sedang duduk melepak di luar kompleks beli-belah itu.,,,,,,,False,拟声词,interjection
mat salih,mat buaya,,,,bahasa basahan,"gelaran kepada orang lelaki berkulit putih dari Eropah dan negara-negara spt Kanada, Amerika Syarikat, Australia dan New Zealand;",Mereka terkejut kerana mat salih itu boleh bercakap Melayu.,,,,,orang putih,,False,拟声词,interjection
mat sepana,mat buaya,,a,,bahasa basahan,gelaran kepada lelaki yg bekerja sebagai mekanik,"Keretanya rosak, mujurlah ada mat sepana datang membantunya.",,,,,,,False,拟声词,interjection
mat sepana,mat buaya,,b,,bahasa basahan,mat kilang,Jalil tak mahu kerja kilang kerana malu digelar mat sepana.,,,,,,,False,拟声词,interjection
mata air,mata1,,b,,bahasa basahan,kekasih,Dia asyik teringatkan mata airnya,,,,,,,False,拟声词,interjection
mata kerek,mata hati,,b,,bahasa basahan,mata yg melihat atau memandang sso secara sinis,Tiba-tiba nampak macam ada mata. kerek yg memandangnya.+S / lepas ini tak ada sesiapa yg berani memandangnya dengan mata kerek.,,,,,,,False,拟声词,interjection
mata petai,mata hati,,b,,kiasan,,,,,,,,,False,无有效定义,incomplete
"berapa berat mata memandang, berat lagi bahu memikul mata memandang apa hendak",mata telinga,,,,,ak,,,,,,,,False,无有效定义,incomplete
M,mata keli1,,,,,padang; M,,,,,,kelampadang; mempadang; Vaccinium bracteatum.,,False,词条过短且不完整,short_entry
mati ayam,mati air,,,,bahasa basahan,mati katak;,,,,,,,,False,拟声词,interjection
mati katak,mati air,,a,,bahasa basahan,"mati terbiar di sesuatu tempat akibat dilanggar kenderaan, ditembak dan sebagainya",Berhati-hatilah ketika melintas jalan supaya tidak mati katak. / Tidak kurang juga yg mati katak kerana menjadi sasaran senjata tentera pemberontak.,,,,,,,False,拟声词,interjection
mati katak,mati air,,b,,bahasa basahan,mati dalam keadaan yg sia-sia,Sia-sia sahaja jika mati katak hanya kerana berebutkan seorang perempuan. / Perjuangan mereka dianggap sia-sia dan kematian mereka juga disifatkan sebagai mati katak.,,,,,,,False,拟声词,interjection
"kojol, mati konyol",mati air,,,,bahasa basahan,mati katak;,,,,,,,,False,拟声词,interjection
mati kummati kutu,mati air,,,,bahasa basahan,"sudah buntu dan tidak dapat berfikir lagi utk mencari jalan bagi menye. lesaikan masalah, melakukan sesuatu dan lain-lain",Dia mati kutu setelah disoal bertubi-tubi oleh ahli panel.,,,,,,,False,拟声词,interjection
bermatikan,mati-mati ber-,bermatikan,,,,,,,,,,,,False,无有效定义,incomplete
matur,matur,ma-tur,,,,,,,,,,,,False,无有效定义,incomplete
matyai1,matyai1,mat-jaj,,,,,,,,,,,,False,无有效定义,incomplete
matyeh,matyeh,mat jeh,,,,,,,,,,,,False,无有效定义,incomplete
mau,mau,mau,,,bahasa basahan,lihat mahu.,,,,,,,,False,拟声词,interjection
bermaulud,maulud,,,,,Sg90,ber-maw.lud kata kerja tak transitif mengadakan maulud: Dia berjalan menuju ke rumah orang yg bermaulud itu.,,,,,,,False,无有效定义,incomplete
maya,maya,maja,,,,,,daripada Sanskrit maya,,,,,,False,无有效定义,incomplete
ma,mayam,,,,,an dengan 1 bungkal;,,,,,,,,False,词条过短且不完整,short_entry
mayang3,mayang3,ma jan,,,,,,,,,,,,False,无有效定义,incomplete
mayor jenderal,mayor,"d mejar jeneral. ASAL: [drp Bld majoor pangkat dlm tentera, mejar' drp Lt maior lebih besar'",,,,,,,,,,,,False,无有效定义,incomplete
L,L,,,,,icin dan ber-,,,,,,,,False,词条过短且不完整,short_entry
mazurka,mazurka,ma-zur-ka,2,kata nama,,muzik yg digubah utk mengiringi tarian ini. simbol bagi megabit.,,,,,,,,False,元数据条目,meta
MB2,MB2,,,,simbol bagi,megabait.,,,,,,,,False,元数据条目,meta
MBA,MBA,,,,singkatan bagi,Master of Business Administration (Sarja na Pentadbiran Perniagaan). MBA ialah ijazah kedua yg dianugerahkan oleh universiti kepada pemegang ijazah sarjana muda yg telah lulus dalam bidang pentadbiran perniagaan..,,,,,,,,False,元数据条目,meta
MBAD,MBAD,,,,singkatan bagi,ld Markas Besar Angkatan Darat.,,,,,,,,False,元数据条目,meta
MBK,MBK,,,,singkatan bagi,"Majlis Bersama Kebangsaan. MBK ialah sebuah pertubuhan yg memberi khidmat nasihat ke atas dasar sedia ada mengenai gaji, elaun dan kemudahan serta perkara berkaitan dengan perhubungan antara majikan dan pekerja..",,,,,,,,False,元数据条目,meta
MBKM,MBKM,,,,singkatan bagi,"Majlis Buku Kebangsaan Malaysia. MBKM ialah sebuah badan khas yg ditubuhkan oleh Kementerian Pelajaran Malaysia pada tahun 1968, yg bertanggungjawab utk mengembangkan minat membaca dan memajukan perusahaan buku dalam kalangan negara-negara membangun.",,,,,,,,False,元数据条目,meta
MBM,MBM,,,,singkatan bagi,Majlis Belia Malaysia. MBM ialah sebuah pertubuhan yg menjadi badan perunding mengenai semua perkara berkenaan dengan kebajikan dan kemajuan belia di Malaysia.,,,,,,,,False,元数据条目,meta
MC1,MC1,,,,singkatan bagi,Medical Chit (Sijil Cuti Sakit). MC ialah sijil yg dikeluarkan oleh doktor bertauliah yg. mengesahkan bahawa sso itu sakit dan tidak boleh bekerja utk tempoh tertentu.,,,,,,,,False,元数据条目,meta
MC2,MC2,,,,singkatan bagi,Master of Ceremonies (Juruacara).,,,,,,,,False,元数据条目,meta
MCA,MCA,,,,singkatan bagi,"Malaysian Chinese Association (Persatuan Cina Malaysia). MCA merupakan parti terbesar yg mewakili kaum Cina di Malaysia, ditubuhkan pada tahun 1949 dengan matlamat awalnya adalah utk merapatkan hubungan antara kaum Cina dengan masyarakat lain di Tanah Melayu berasaskan semangat muhibah dan kerjasama. Presiden pertamanya ialah Tan Cheng Lock..",,,,,Sejarah,,,False,元数据条目,meta
MCE,MCE,,,,singkatan bagi,Malaysian Certificate of Education (Sijil Pelajaran Malaysia)..,,,,,,,,False,元数据条目,meta
MCS,MCS,,,,singkatan bagi,Malayan Civil Service (Perkhidmatan Awam Malaya).,,,,,,,,False,元数据条目,meta
Md,Md,,,,simbol bagi,mendelevium..,,,,,Kimia,,,False,元数据条目,meta
median2,median2,me-di jan,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
medik,medik,me-dik,,kata nama,bahasa basahan,perubatan,Dia meminati medik sejak di bangku sekolah lagi.,,,,,,,False,拟声词,interjection
medil,medil,madil,,,bahasa klasik,,,,,,,,,False,无有效定义,incomplete
Mej.,Mej.,,,,singkatan bagi,Mejar..,,,,,Ketenteraan,,,False,元数据条目,meta
Mej. Jen,Mej. Jen,,,,singkatan bagi,Mejar Jeneral.,,,,,Ketenteraan,,,False,元数据条目,meta
melah,melah,melah,,kata hubung,bahasa basahan,malah;,,,,,,,,False,拟声词,interjection
Melaka,Melaka,malaka,3,kata nama,,Keluasan: 299 km?; penduduk: 563 400 (2017).,,daripada Sanskrit malaka{de Casparis},,,,,,False,人名,person_name
melek,Melayu-Proto,male?,,kata kerja tak transitif,bahasa basahan,1tidak tidur; 2 terbuka matanya atau dapat melihat,,,,,,jaga; celik;,,False,拟声词,interjection
melela1,belum melek,melela,,,,,,,,,,,,False,无有效定义,incomplete
melela2,belum melek,me-lela,,,,,,,,,,,,False,无有效定义,incomplete
member,member,mem-ber,,kata nama,bahasa basahan,teman;,,daripada Ing daripada Latin membrum anggota badan',,,,,,False,拟声词,interjection
member,member,mem-ber,,kata nama,bahasa basahan,teman;,,daripada Ing daripada Latin membrum anggota badan',,,,member,,False,拟声词,interjection
kamceng,member,,,,bahasa basahan,teman rapat,Dia ini member kamceng aku.,,,,,,,False,拟声词,interjection
mempayang,mempayang,mempa jan,,,,,,,,,,,,False,无有效定义,incomplete
mempelasari,mempelasari,mempelasari,,kata nama,,,,,,,,,,False,无有效定义,incomplete
men-.... (me-...-i meng-...-i. menge-...-! mem-,men-.... (me-...-i meng-...-i. menge-...-! mem-,,,,,em-,,,,,,,,False,无有效定义,incomplete
mena,mena,me.na,,,,,,"daripada Sanskrit samana sama, di tengah antara dua ekstrem'",,,,,,False,无有效定义,incomplete
semena-mena,mena,somana me.na,,,,,,,,,,,,False,无有效定义,incomplete
menak,menak,mena?,,,,.,,,,,,,,False,无有效定义,incomplete
mencak2,mencak2,mentSa?,,,,,,,,,,,,False,无有效定义,incomplete
mencak-mencak,mencak2,gxis [mentSa? mantfa?,,kata kerja tak transitif,bahasa basahan,mengamuk atau marah benar;,,,,,,,,False,拟声词,interjection
mencih,mencih,mentSih,,,,Se/,,,,,,,,False,无有效定义,incomplete
menda,menda,is [manda,,kata nama,bahasa basahan,benda atau apa benda.,,,,,,,,False,拟声词,interjection
mendap,mendap,men-dap,,,,,,,,Kelantan,,,,False,无有效定义,incomplete
mendera,dikai,men-de.ra,,,,,,,,,,,,False,无有效定义,incomplete
menderang,manis,menda.ran,,,,,,,,,,,,False,无有效定义,incomplete
mending,mending,men-din,1,adjektif,bahasa basahan,"(berkenaan dengan perniagaan, penyakit dan lain-lain) lebih baik daripada yg lain atau yg sebelumnya;",,,,,,,,False,拟声词,interjection
mending,mending,men-din,2,adjektif,bahasa basahan,"mujur, nasib baik atau untung;",,,,,,,,False,拟声词,interjection
mending,mending,men-din,3,adjektif,bahasa basahan,lebih elok kalau;.,,,,,,,,False,拟声词,interjection
menejar,menejar,me-ne-d3ar,,kata nama,bahasa basahan,"orang yg meng urus sesebuah pasukan, syarikat, perniagaan dan sebagainya atau sesuatu acara, majlis dan sebagainya;",,,,,,pengurus.,,False,拟声词,interjection
mengerib,mengerib,ma-nerib,,kata nama,bahasa basahan,maghrib..,,,,,,,,False,拟声词,interjection
mengga,mengga,menga,,,,,,,,Jakarta,,,,False,无有效定义,incomplete
semengga-mengga,mengga,K:ow [se.mon.ga men ga,,kata bilangan,,,,,,,,,,False,无有效定义,incomplete
menggerib,menggerib,mengerib,,kata nama,bahasa basahan,maghrib.,,,,,,,,False,拟声词,interjection
mengguk,mengguk,mengu?,,,,,,,,Kelantan,,,,False,无有效定义,incomplete
mengkal1,menggusta,menka1,4,adjektif,kiasan,,,,,,,,,False,无有效定义,incomplete
bermengkal,menggusta,bermen-kal,,,,,,,,,,,,False,无有效定义,incomplete
mengkali,mengkali,men kali,,kata adverba,bahasa basahan,barangkali.,,,,,,,,False,拟声词,interjection
mengkara,mengkapas,",. [man ka-ra",,,,,,,,,,,,False,无有效定义,incomplete
mengkelan,mengkelan,menkelan,,,,,,,,,,,,False,无有效定义,incomplete
mengkis,mengkis,menkis,,,bahasa klasik,,,,,,,,,False,无有效定义,incomplete
laut,mengkuang1,,,,,;,,,,,,Pandanus tectorius;,,False,无有效定义,incomplete
mengung,mengok,Gnd-eu,,,,o?,,,,,,,,False,无有效定义,incomplete
menila1,mengok,menila,,,,,,,,,,,,False,无有效定义,incomplete
menjelis,menjelis,mend3elis,,adjektif,bahasa basahan,(berkenaan dengan rupa atau keadaan sso atau sesuatu) cantik atau elok.,,,,,,,,False,拟声词,interjection
Menlu,Menlu,menlu,,,,akrMenteri Luar.,,,,,,,,False,人名,person_name
menong,menong,menon,,,,,,,,,,,,False,无有效定义,incomplete
mentang,mentaliti,mentan,,,,,,,,,,,,False,无有效定义,incomplete
mentarang,mentarang,mentaran,,,,,,,,,,,,False,无有效定义,incomplete
mementegai,mentega',memente-gai,2,kata kerja transitif,bahasa basahan,membuat sesuatu dengan tujuan utk mengambil hati (sso) bagi mencapai maksud tertentu.,,,"dimentegai, mentegai",,,,,False,拟声词,interjection
Dalam Negeri,menteri 1,,,,,menteri yg bertanggungjawab mengurus hal-hal dalam negeri;,,,,,,,,False,人名,person_name
Menteri,menteri 1,,,,,Muda timbalan menteri;,,,,,,Menteri,,False,人名,person_name
Negara,menteri 1,,,,,menteri yg tidak memegang kementerian tetapi diberi tugas yg penting;,,,,Indonesia,,,,False,人名,person_name
mentora,mentora,mentora,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
menung,menung,me.nun,,,,,,,,,,,,False,无有效定义,incomplete
menyolok,capung,mano-lo?,,,,,,,,,,,,False,无有效定义,incomplete
bermerah,merah1,barme.rah,,,,,,,,,,,,False,无有效定义,incomplete
merang1,merang1,me-ran,,,,,,,,,,,,False,无有效定义,incomplete
meranti mesu,meranti,,,,,;,,,,,,meranti mesu nemesu; Shorea pauciflora;,,False,无有效定义,incomplete
meretik,meretik,me-re.ti?,,,,,,,,,,,,False,无有效定义,incomplete
mering,merica L,merin,,,,,,,,,,,,False,无有效定义,incomplete
merpaud,merpaud,mer-pa-ud,,kata bilangan,bahasa basahan,lebih daripada satu;,,daripada Belanda meervoud,,Indonesia,,,,False,拟声词,interjection
pemesejan segera,mesej,"nternet, yg menggunakan perisian yg dikongsi pd komputer atau peranti pintar, mis Whatsapp, Yahoo Messenger dan Wechat. ASAL: [drp Ing message drp Prc drp Lt missaticum 'sst yg dikirimkan' drp missus dikirimkan'",,,,.,,,,,,,,False,无有效定义,incomplete
mesin ketik,mesin hitung,,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
mesin tik,mesin hitung,,,,bahasa basahan,,,,,Indonesia,,,,False,拟声词,interjection
mesin,mesin hitung,,,,bahasa basahan,mesin taip;,,,,Indonesia,,mesin,,False,拟声词,interjection
mesra alam,mesra,,b,,kiasan; bahasa basahan,(berkenaan dengan sso) terlalu ramah,Selama ini awak bukan mesra alam sangat dengan saya.,,,,,,,False,拟声词,interjection
meter,meter,,,,,;,,,,,,meter,,False,无有效定义,incomplete
metok,metok,me-to?,,,,Ke/,,,,,,,,False,无有效定义,incomplete
metong,metong,me-ton,,,,,,,,Kelantan,,,,False,无有效定义,incomplete
metor,metor,me.tor,,,,,,,,Perak,,,,False,无有效定义,incomplete
mg,mg,,,,singkatan bagi,miligram..,,,,,,,,False,元数据条目,meta
Mg,Mg,,,,simbol bagi,magnesium..,,,,,Kimia,,,False,元数据条目,meta
MHz,MHz,,,,simbol bagi,megahertz.,,,,,Fizik,,,False,元数据条目,meta
mi basah,mi1,,,,,mi;,,,,,,mi kuning;,,False,无有效定义,incomplete
mi kasar,mi1,,,,,mi;,,,,,,mi kuning;,,False,无有效定义,incomplete
miap,miap,mijap,,,,,,,,,,,,False,无有效定义,incomplete
mikin,mikin,mi-kin,,kata adverba,bahasa basahan,makin;.,,,,,,,,False,拟声词,interjection
milo,milo,mi-lo,,,,,,,,Indonesia,,,,False,无有效定义,incomplete
minah,minah,minah,1,kata nama,bahasa basahan,"gelaran yg diberikan kepada sso perempuan berdasarkan sifat fizikal, minat, kemahiran dan sebagainya yg ketara",minah bunga; / minah motor;,,,,,,,False,拟声词,interjection
minah,minah,minah,2,kata nama,bahasa basahan,"panggilan kepada sso perempuan, biasanya perempuan muda yg tidak dikenali atau tidak disenangi",Tak tahan aku dengan perangai minah ini.,,,,,,,False,拟声词,interjection
minah cintan,minah,,,,bahasa basahan,"gelaran kepada perempuan yg berada dalam alam percintaan, agak romantik dan sentiasa berkhayal ttg kekasihnya;",,,,,,,,False,拟声词,interjection
minah gian,minah,,,,bahasa basahan,gelaran kepada perempuan yg menagih dadah;,,,,,,,,False,拟声词,interjection
minah karan,minah,,,,bahasa basahan,minah kilang,"Pd tahun 80-an, wanita yg bekerja di kilang digelar minah karan.",,,,,,,False,拟声词,interjection
minah kilang,minah,,,,bahasa basahan,gelaran kepada perempuan yg bekerja sebagai operator pengeluaran di kilang,Dia pernah menjadi minah kilang semasa menunggu keputusan SPM dulu.,,,,,,,False,拟声词,interjection
minah motor,minah,,a,,bahasa basahan,gelaran kepada perempuan yg menunggang motosikal,Seorang minah motor telah dilanggar oleh sebuah kereta di selekoh rumahnya.,,,,,,,False,拟声词,interjection
minah motor,minah,,b,,bahasa basahan,minah rempit;,,,,,,,,False,拟声词,interjection
minah rempit,minah,,,,bahasa basahan,"gelaran kepada remaja perempuan yg suka menunggang motosikal secara laju dan berbahaya di jalan raya, biasanya utk berlumba;",,,,,,,,False,拟声词,interjection
minah pit,minah,,,,bahasa basahan,minah gian;,,,,,,,,False,拟声词,interjection
minah rok,minah,,,,bahasa basahan,"gelaran kepada perempuan yg menggemari muzik rok dan terikut-ikut dengan penampilan ahli kumpulan muzik rok dari segi cara berpakaian, fesyen rambut dan gaya hidup yg agak bebas;",,,,,,,,False,拟声词,interjection
minah salih,minah,,,,bahasa basahan,"gelaran kepada orang perempuan berkulit putih dari Eropah dan negara-negara spt Kanada, Amerika Syarikat, Australia dan New Zealand.",,,,,,,,False,拟声词,interjection
MinDef,MinDef,min-def,,,akronim bagi,Ministry of Defence (Kementerian Pertahana lihat ) Kementah,,,,,,,,False,人名,person_name
minduk,minduk,min-du?,,,,Ke/,,,,,,,,False,无有效定义,incomplete
minggu datang,minggu,,,,kata arkaik,,,,,,,,,False,无有效定义,incomplete
berminggu,minggu,ber-min-gu,3,kata bilangan,bahasa basahan,berminggu-minggu,"Pd tahun 1950-an, persembahan wayang kulit boleh bertahan berminggu di Kelantan.",,,,,,,False,拟声词,interjection
minta-minta,minta,minta minta,1,kata kerja tak transitif,bahasa basahan,berminta-minta atau meminta-minta,Sejak dulu saya tidak pernah minta-minta. kata nama,,,,,,,False,拟声词,interjection
minta-minta,minta,minta minta,2,kata nama,bahasa basahan,orang yg suka meminta sedekah atau mengemis,Seorang minta-minta yg miskin akan be rasa kaya jika kehidupannya aman damai / bala da seorang minta-minta; kata hubung,,,,,,,False,拟声词,interjection
minta-minta,minta,minta minta,3,kata hubung,bahasa basahan,mudah-mudahan atau moga-moga,"Dia berdoa, minta-minta dipelihara Allah akan anaknya itu. / Minta-minta janganlah hujan hari ini.",,,,,,,False,拟声词,interjection
mintak2,mintak2,min-ta?,,kata kerja transitif,bahasa basahan,meminta lihat > minta,,,,,,,,False,拟声词,interjection
mintakat dingin,mintakat,d kawasan yg berhawa dingin.. ASAL: [drp Ar mintaqah,,,,,,,,,,,,False,无有效定义,incomplete
meminum,minum,me-mi-num,,,,.,,,,,,,,False,无有效定义,incomplete
minyak latong,minyak goreng,,,,,,,,,Javanese,,,,False,无有效定义,incomplete
minyak duyung perendang duyung minyak kita juga,minyak goreng,,,,,ga.,,,,,,,,False,无有效定义,incomplete
berminyak biar lecak mati-mati berminyak,berminyak air mukanya,,,,,ak,,,,,,,,False,无有效定义,incomplete
mipir,mipir,mipir,,,,.,,,,,,,,False,无有效定义,incomplete
misainya,misainya,,,,singkatan bagi,misalnya.,,,,,,,,False,元数据条目,meta
misi2,misi2,mi-si,,kata nama,bahasa basahan,jururawat,Misi yg mera watnya itu lemah lembut orangnya.,daripada Ing missy (bentuk tidak formal daripada miss daripada missan),,,,,,False,拟声词,interjection
misih,misih,mi.sih,,kata bantu,bahasa basahan,masih.,,,,,,,,False,拟声词,interjection
misti,misti,mis.ti,,,bahasa basahan,lihat mesti,,,,,,,mesti,False,拟声词,interjection
misyar yL.,misyar yL.,mis jar,,,,,,,,,,,,False,无有效定义,incomplete
miting,miting,mitin,,kata nama,bahasa basahan,mesyuarat.,,,,,,,,False,拟声词,interjection
Mk.,Mk.,,,,singkatan bagi,Mukim.,,,,,,,,False,元数据条目,meta
MKBK,MKBK,,,,singkatan bagi,Majlis Kemajuan Buku Kebangsaan yg kemudiannya ditukar kepada Majlis Buku Kebangsaan Malaysia (MBKM).,,,,,,,,False,元数据条目,meta
mks,mks,,,,singkatan bagi,"meter, kilogram dan saat, iaitu sistem. unit asas.",,,,,,,,False,元数据条目,meta
MLH,MLH,,,,singkatan bagi,Maktab Latihan Harian. MLH ialah maktab tempat melatih guru-guru sekolah rendah.,,,,,,,,False,元数据条目,meta
mm,mm,,,,singkatan bagi,milimeter.,,,,,,,,False,元数据条目,meta
mmm...,mmm...,,,,bahasa basahan,"digunakan dalam tulisan utk mewakili. bunyi suara sso bagi menyatakan kelazatan sesuatu, keadaan sedang memikirkan sesuatu dan lain-lain",Mmm... sedapnya kuih ini.,,,,,,,False,拟声词,interjection
MMS,MMS,,,,singkatan bagi,"Multimedia Messaging Service (khidmat pesanan multimedia). MMS ialah khidmat telekomunikasi yg membolehkan imej, video dan audio selain teks dihantar dan diterima dengan menggunakan peranti pintar.",,,,,,,,False,元数据条目,meta
Mn,Mn,,,,simbol bagi,mangan.,,,,,Kimia,,,False,元数据条目,meta
MNLF,MNLF,,,,singkatan bagi,Moro National Liberation Front (Baris-. an Pembebasan Kebangsaan Moro). MNLF merupakan kumpulan pemisah Islam utama di selatan Filipina.,,,,,,,,False,元数据条目,meta
Mo,Mo,,,,simbol bagi,molibdenum.,,,,,Kimia,,,False,元数据条目,meta
